inde	20.593684	78.96288
états-unis	37.09024	-95.712891
dominique	15.414999	-61.370976
rép. dominicaine	18.735693	-70.162651
suisse	46.818188	8.227512
royaume-uni	55.378051	-3.435973
cuba	21.521757	-77.781167
australie	-25.274398	133.775136
puerto rico	18.220833	-66.590149
émirat arabes unis	23.424076	53.847818
martinique	14.641528	-61.024174
guadeloupe	16.995971	-62.067641
mexique	23.634501	-102.552784
costa rica	9.748917	-83.753428
colombie	4.570868	-74.297333
jamaìque	18.109581	-77.297508
cameroun	7.369722	12.354722
thailande	15.870032	100.992541
afrique du sud	-30.559482	22.937506
haiti	18.971187	-72.285215
iles vierges (é-u)	18.335765	-64.896335
guatemala	15.783471	-90.230759
nouvelle-zélande	-40.900557	174.885971
indonésie	-0.789275	113.921327
aruba	12.52111	-69.968338
pologne	51.919438	19.145136
republique tchèque	49.817492	15.472962
iles turques-caiques	21.694025	-71.797928
zimbabwe	-19.015438	29.154857
jordanie	30.585164	36.238414
argentine	-38.416097	-63.616672
sénégal	14.497401	-14.452362
iraq	33.223191	43.679291
algerie	28.033886	1.659626
maroc	31.791702	-7.09262
cambodge	12.565679	104.990963
Oman	21.473534	55.975414
Kazakhstan	48.019573	66.923683
Lebanon	33.875063	35.843409
Bulgaria	42.7339	25.4858
Burkina Faso	12.2383	-1.5616
Bahrein	-23.5459	-46.2491
