01-Bas-Saint-Laurent	48.655230	-67.467500
02-Saguenay - Lac-Saint-Jean	49.378300	-72.730600
03-Capitale-Nationale	47.376000	-71.123370
04-Mauricie et Centre-du-Quebec	46.663000	-72.851200
05-Estrie	45.404200	-71.892900
06-Montreal	45.501700	-73.567300
07-Outaouais	45.476500	-75.701300
08-Abitibi-Temiscamingue	47.734400	-77.672800
09-Cote-Nord	50.896700	-66.149700
10-Nord-du-Quebec	52.739900	-73.549100
11-Gaspesie - iles-de-la-Madeleine	47.573100	-62.325500
12-Chaudiere-Appalaches	46.439000	-71.021300
13-Laval	45.606600	-73.712400
14-Lanaudiere	46.125600	-73.704200
15-Laurentides	46.618200	-75.018100
16-Monteregie	45.501700	-73.567300
17-Nunavik	60.034200	-70.011800
18-Terres-Cries-de-la-Baie-James	51.700800	-76.046800
30-Hors Quebec	50.000678	-86.000977
